d=10   M=128    ε=0.05  ...  0.4 s
d=10   M=128    ε=0.10  ...  0.4 s
d=10   M=128    ε=1.00  ...  0.4 s
d=10   M=1024   ε=0.05  ...  3.9 s
d=10   M=1024   ε=0.10  ...  3.1 s
d=10   M=1024   ε=1.00  ...  3.2 s
d=10   M=8192   ε=0.05  ...  37.9 s
d=10   M=8192   ε=0.10  ...  30.0 s
d=10   M=8192   ε=1.00  ...  28.7 s
d=30   M=128    ε=0.05  ...  0.7 s
d=30   M=128    ε=0.10  ...  0.5 s
d=30   M=128    ε=1.00  ...  0.5 s
d=30   M=1024   ε=0.05  ...  6.2 s
d=30   M=1024   ε=0.10  ...  5.9 s
d=30   M=1024   ε=1.00  ...  5.9 s
d=30   M=8192   ε=0.05  ...  60.2 s
d=30   M=8192   ε=0.10  ...  59.4 s
d=30   M=8192   ε=1.00  ...  55.3 s
d=100  M=128    ε=0.05  ...  1.2 s
d=100  M=128    ε=0.10  ...  1.2 s
d=100  M=128    ε=1.00  ...  1.2 s
d=100  M=1024   ε=0.05  ...  13.2 s
d=100  M=1024   ε=0.10  ...  12.5 s
d=100  M=1024   ε=1.00  ...  12.4 s
d=100  M=8192   ε=0.05  ...  147.0 s
d=100  M=8192   ε=0.10  ...  172.9 s
d=100  M=8192   ε=1.00  ...  145.8 s

==============================================================================================================
GAUSSIAN SCHRÖDINGER BRIDGE EXPERIMENT RESULTS
Source: N(0,Iᵈ)   Target: N(e₁, AR1(ρ=0.9))   Burn-in: 1000   Meas: 1000   Thin: 10
==============================================================================================================
d    M      ε     fn              gt        mean       std       bias      bias²   variance      MSE       ESS
--------------------------------------------------------------------------------------------------------------
10   128    0.05  x0y0      +0.74941    +0.52331   0.00297   -0.22611   0.051124   0.000009   0.051133      7.4
10   128    0.05  x0y1      +0.41813    +0.32121   0.00330   -0.09692   0.009394   0.000011   0.009405      4.5
10   128    0.05  x1y0      +0.41813    +0.43749   0.00334   +0.01936   0.000375   0.000011   0.000386      4.0
10   128    0.05  x1y1      +0.67238    +0.53293   0.00667   -0.13946   0.019448   0.000044   0.019493      6.8
10   128    0.05  EZ        +6.69827    +5.12176   0.00487   -1.57651   2.485378   0.000024   2.485401      5.7
10   128    0.05  EZ2      +65.69936   +41.20722   0.07990  -24.49214  599.864949   0.006384  599.871333      5.7
10   128    0.05  EZ3     +899.09591  +456.72324   0.87868  -442.37266  195693.573595   0.772086  195694.345682      5.7
10   128    0.10  x0y0      +0.73739    +0.50959   0.00538   -0.22780   0.051891   0.000029   0.051920      3.8
10   128    0.10  x0y1      +0.41789    +0.33588   0.00256   -0.08201   0.006726   0.000007   0.006733      4.1
10   128    0.10  x1y0      +0.41789    +0.44563   0.00488   +0.02774   0.000769   0.000024   0.000793      4.4
10   128    0.10  x1y1      +0.66053    +0.51577   0.00252   -0.14475   0.020953   0.000006   0.020960     17.9
10   128    0.10  EZ        +6.57940    +5.20680   0.00721   -1.37261   1.884052   0.000052   1.884104      3.4
10   128    0.10  EZ2      +63.95959   +41.90041   0.09582  -22.05918  486.607371   0.009182  486.616553      3.2
10   128    0.10  EZ3     +871.22718  +463.93929   1.17105  -407.28789  165883.423657   1.371358  165884.795015      3.3
10   128    1.00  x0y0      +0.56929    +0.46554   0.03201   -0.10375   0.010764   0.001024   0.011789    332.7
10   128    1.00  x0y1      +0.39204    +0.33445   0.03563   -0.05759   0.003316   0.001269   0.004586    485.6
10   128    1.00  x1y0      +0.39204    +0.43008   0.04045   +0.03804   0.001447   0.001636   0.003083    518.5
10   128    1.00  x1y1      +0.50815    +0.46900   0.03568   -0.03915   0.001533   0.001273   0.002806    610.2
10   128    1.00  EZ        +5.03246    +4.80341   0.05545   -0.22906   0.052467   0.003074   0.055542    661.8
10   128    1.00  EZ2      +43.80947   +38.84502   0.66499   -4.96444  24.645710   0.442212  25.087922    427.0
10   128    1.00  EZ3     +560.99794  +434.47415  11.96041  -126.52380  16008.271628  143.051460  16151.323088    308.9
10   1024   0.05  x0y0      +0.74941    +0.60189   0.00112   -0.14752   0.021763   0.000001   0.021765     28.3
10   1024   0.05  x0y1      +0.41813    +0.40001   0.00128   -0.01812   0.000328   0.000002   0.000330     26.8
10   1024   0.05  x1y0      +0.41813    +0.41047   0.00153   -0.00766   0.000059   0.000002   0.000061     14.2
10   1024   0.05  x1y1      +0.67238    +0.54411   0.00165   -0.12827   0.016453   0.000003   0.016456      9.7
10   1024   0.05  EZ        +6.69827    +5.60817   0.00651   -1.09010   1.188313   0.000042   1.188355      3.2
10   1024   0.05  EZ2      +65.69936   +47.25061   0.09018  -18.44876  340.356635   0.008132  340.364767      3.8
10   1024   0.05  EZ3     +899.09591  +552.42141   1.49758  -346.67450  120183.208509   2.242734  120185.451243      4.9
10   1024   0.10  x0y0      +0.73739    +0.59671   0.00242   -0.14068   0.019791   0.000006   0.019797      6.5
10   1024   0.10  x0y1      +0.41789    +0.38390   0.00222   -0.03399   0.001156   0.000005   0.001161      7.6
10   1024   0.10  x1y0      +0.41789    +0.41970   0.00294   +0.00181   0.000003   0.000009   0.000012      6.2
10   1024   0.10  x1y1      +0.66053    +0.53843   0.00207   -0.12209   0.014906   0.000004   0.014911     13.5
10   1024   0.10  EZ        +6.57940    +5.63795   0.00742   -0.94146   0.886343   0.000055   0.886398      3.5
10   1024   0.10  EZ2      +63.95959   +47.65040   0.10889  -16.30920  265.989892   0.011858  266.001750      3.6
10   1024   0.10  EZ3     +871.22718  +561.92713   2.59964  -309.30005  95666.520957   6.758134  95673.279091      3.9
10   1024   1.00  x0y0      +0.56929    +0.51106   0.01178   -0.05823   0.003391   0.000139   0.003530    596.6
10   1024   1.00  x0y1      +0.39204    +0.36962   0.01280   -0.02242   0.000503   0.000164   0.000667    545.6
10   1024   1.00  x1y0      +0.39204    +0.40061   0.01404   +0.00857   0.000073   0.000197   0.000271    481.2
10   1024   1.00  x1y1      +0.50815    +0.46877   0.01209   -0.03938   0.001550   0.000146   0.001697    640.8
10   1024   1.00  EZ        +5.03246    +4.88134   0.02310   -0.15112   0.022838   0.000534   0.023371    373.5
10   1024   1.00  EZ2      +43.80947   +40.63248   0.31202   -3.17699  10.093265   0.097354  10.190620    230.7
10   1024   1.00  EZ3     +560.99794  +482.96265   7.05175  -78.03529  6089.506815  49.727218  6139.234033    143.6
10   8192   0.05  x0y0      +0.74941    +0.69471   0.00106   -0.05470   0.002993   0.000001   0.002994      5.2
10   8192   0.05  x0y1      +0.41813    +0.43570   0.00063   +0.01757   0.000309   0.000000   0.000309      7.4
10   8192   0.05  x1y0      +0.41813    +0.42292   0.00058   +0.00479   0.000023   0.000000   0.000023     11.5
10   8192   0.05  x1y1      +0.67238    +0.62685   0.00181   -0.04553   0.002073   0.000003   0.002077      4.4
10   8192   0.05  EZ        +6.69827    +6.09876   0.01337   -0.59951   0.359407   0.000179   0.359586      4.4
10   8192   0.05  EZ2      +65.69936   +55.92678   0.17935   -9.77258  95.503299   0.032166  95.535464      4.5
10   8192   0.05  EZ3     +899.09591  +733.87867   2.85737  -165.21723  27296.734124   8.164572  27304.898696      4.4
10   8192   0.10  x0y0      +0.73739    +0.69659   0.00195   -0.04080   0.001665   0.000004   0.001669      4.0
10   8192   0.10  x0y1      +0.41789    +0.43875   0.00086   +0.02086   0.000435   0.000001   0.000436      5.2
10   8192   0.10  x1y0      +0.41789    +0.42455   0.00065   +0.00666   0.000044   0.000000   0.000045     16.9
10   8192   0.10  x1y1      +0.66053    +0.62911   0.00149   -0.03142   0.000987   0.000002   0.000989      5.7
10   8192   0.10  EZ        +6.57940    +6.11128   0.01685   -0.46812   0.219137   0.000284   0.219421      3.8
10   8192   0.10  EZ2      +63.95959   +56.17992   0.21814   -7.77967  60.523338   0.047586  60.570924      3.8
10   8192   0.10  EZ3     +871.22718  +739.14369   3.02388  -132.08348  17446.046322   9.143847  17455.190170      3.6
10   8192   1.00  x0y0      +0.56929    +0.57899   0.00424   +0.00970   0.000094   0.000018   0.000112    256.9
10   8192   1.00  x0y1      +0.39204    +0.41255   0.00476   +0.02051   0.000421   0.000023   0.000443    200.6
10   8192   1.00  x1y0      +0.39204    +0.40172   0.00499   +0.00968   0.000094   0.000025   0.000119    515.6
