d,M,ε,fn,gt,mean,std,bias,bias2,variance,mse,ess,mcse
10,128,0.05,x0y0,0.7494132951304842,0.5233076345828191,0.002972963173558684,-0.226105660547665,0.05112376973169592,8.838510031336122e-6,0.05113260824172725,7.381521993074177,0.0010942500384635459
10,128,0.05,x0y1,0.4181329090920055,0.3212114552805291,0.0032962864205561293,-0.09692145381147643,0.00939376820893016,1.086550416634274e-5,0.009404633713096503,4.531991491684058,0.0015483901446235982
10,128,0.05,x1y0,0.41813290909200546,0.4374910876335992,0.003341675608271679,0.019358178541593718,0.00037473907644821946,1.1166795870917893e-5,0.00038590587231913736,3.968723170528563,0.001677408677242292
10,128,0.05,x1y1,0.6723844271902847,0.5329267630288397,0.006668131405238471,-0.139457664161445,0.01944844009336638,4.4463976437527585e-5,0.019492904069803908,6.801522138651226,0.0025568255155158626
10,128,0.05,EZ,6.698269888329023,5.121761809675092,0.004870964390837754,-1.576508078653931,2.485377722061109,2.3726294096809412e-5,2.485401448355206,5.681641442519732,0.002043516004063586
10,128,0.05,EZ2,65.69936274968708,41.20722218983221,0.07989890788868,-24.492140559854874,599.8649492036883,0.006383835481803771,599.87133303917,5.693065683708277,0.033486344887580545
10,128,0.05,EZ3,899.0959071565552,456.7232434493649,0.8786844442668047,-442.3726637071903,195693.5735953949,0.7720863525964634,195694.3456817475,5.72725772388437,0.36716356216581136
10,128,0.1,x0y0,0.7373879474303845,0.5095924880401573,0.0053801658992645406,-0.22779545939022716,0.05189077131880463,2.894618510360902e-5,0.05191971750390824,3.7902991774496657,0.0027634965190745154
10,128,0.1,x0y1,0.4178895209107935,0.33587509650361663,0.002563241821258996,-0.08201442440717688,0.006726365810840531,6.570208634251134e-6,0.006732936019474782,4.05003308432278,0.0012736798988196337
10,128,0.1,x1y0,0.41788952091079357,0.4456258454795803,0.004875250264534888,0.02773632456878672,0.0007693037005850817,2.3768065141847496e-5,0.0007930717657269292,4.3578658273391495,0.002335393069938961
10,128,0.1,x1y1,0.6605254970854629,0.5157725815533873,0.0025186443838664243,-0.1447529155320756,0.02095340655503621,6.343569532381881e-6,0.02095975012456859,17.90907044630622,0.0005951553334991705
10,128,0.1,EZ,6.579404530724121,5.206796638390027,0.007209474601585189,-1.372607892334094,1.884052426097844,5.197652403090193e-5,1.884104402621875,3.366207612489837,0.003929462669717955
10,128,0.1,EZ2,63.95959375237689,41.900414906128724,0.09582211888464971,-22.059178846248166,486.60737137076256,0.009181878467543944,486.6165532492301,3.2033443068665655,0.05353822391015642
10,128,0.1,EZ3,871.2271767617401,463.9392888281211,1.17104984054255,-407.287887933619,165883.42365742818,1.3713577290347316,165884.79501515723,3.336581042707874,0.6410981745813538
10,128,1.0,x0y0,0.5692888363565467,0.46553690213364396,0.03200513142412527,-0.10375193422290274,0.010764463854993538,0.0010243284374755308,0.011788792292469069,332.74952603726507,0.0017545303784831168
10,128,1.0,x0y1,0.3920392517353639,0.33445267465426004,0.03562775883851087,-0.057586577081103874,0.003316213859917918,0.0012693371998550894,0.004585551059773007,485.5646413707985,0.0016168323010316572
10,128,1.0,x1y0,0.39203925173536397,0.4300801081017841,0.040448327386630165,0.03804085636642013,0.0014471067530906069,0.0016360671883760157,0.0030831739414666224,518.4802531652732,0.0017763742012941858
10,128,1.0,x1y1,0.5081499640351659,0.4689977385191932,0.03567885541010111,-0.039152225515972694,0.0015328967628535832,0.0012729807233749012,0.0028058774862284846,610.1564083489507,0.0014444094633754277
10,128,1.0,EZ,5.032464353851365,4.803406815364485,0.05544617286891637,-0.22905753848688004,0.05246735593766853,0.003074278085809758,0.05554163402347829,661.7611569362679,0.0021553655578070326
10,128,1.0,EZ2,43.80946529585897,38.84502072264605,0.6649903146449376,-4.964444573212923,24.64570992050324,0.4422121185715732,25.08792203907481,427.0168745964391,0.032180501009086246
10,128,1.0,EZ3,560.9979448865065,434.47414622412236,11.960412207812356,-126.52379866238414,16008.271627959519,143.05146018078682,16151.323088140305,308.9420647067812,0.680467872397058
10,1024,0.05,x0y0,0.7494132951304842,0.6018890637653396,0.0011161971479961448,-0.1475242313651446,0.02176339883987671,1.2458960731947274e-6,0.021764644735949905,28.295935033971784,0.0002098354611496677
10,1024,0.05,x0y1,0.4181329090920055,0.4000125761260602,0.0012813688778387246,-0.018120332965945285,0.00032834646679672343,1.6419062010936726e-6,0.0003299883729978171,26.77109144861524,0.00024765159691034216
10,1024,0.05,x1y0,0.41813290909200546,0.4104709463351144,0.0015340065614740915,-0.007661962756891072,5.870567328798584e-5,2.3531761306455655e-6,6.10588494186314e-5,14.20447339485875,0.0004070189676335417
10,1024,0.05,x1y1,0.6723844271902847,0.5441139859238161,0.0016480936574499439,-0.12827044126646858,0.016453306102694566,2.7162127037267326e-6,0.01645602231539829,9.69705895926562,0.0005292512226149228
10,1024,0.05,EZ,6.698269888329023,5.608172300351732,0.006511452954529779,-1.090097587977291,1.1883127513139076,4.239901957905459e-5,1.1883551503334866,3.206437255227818,0.0036363571723374293
10,1024,0.05,EZ2,65.69936274968708,47.250605748826146,0.0901772862709494,-18.448757000860937,340.3566348768154,0.00813194295919276,340.3647668197746,3.8095162007250427,0.046202156771343574
10,1024,0.05,EZ3,899.0959071565552,552.421407793203,1.4975761939565073,-346.6744993633522,120183.20850883088,2.2427344567052585,120185.45124328759,4.9207430819705325,0.6751085099654692
10,1024,0.1,x0y0,0.7373879474303845,0.5967079337650938,0.0024154583076141235,-0.1406800136652907,0.019790866244866378,5.834438835822085e-6,0.0197967006837022,6.51863099346205,0.0009460658085627781
10,1024,0.1,x0y1,0.4178895209107935,0.38389564132591625,0.0022238424727912634,-0.03399387958487726,0.001155583849231135,4.945475343790362e-6,0.0011605293245749253,7.580132647655158,0.0008077288921381645
10,1024,0.1,x1y0,0.41788952091079357,0.41969941176571485,0.002936816416812371,0.001809890854921281,3.2757049067276856e-6,8.624890666058656e-6,1.1900595572786341e-5,6.213368655406348,0.0011781843187165571
10,1024,0.1,x1y1,0.6605254970854629,0.5384342354214361,0.0020721899816955867,-0.12209126166402684,0.01490627617471387,4.293971320239556e-6,0.01491057014603411,13.461742350694431,0.0005647795104472188
10,1024,0.1,EZ,6.579404530724121,5.637946560844713,0.007422104127942967,-0.9414579698794077,0.8863431090494557,5.508762968602803e-5,0.8863981966791417,3.548424523019616,0.003940118259062451
10,1024,0.1,EZ2,63.95959375237689,47.650397196993474,0.10889492517741486,-16.309196555383416,265.98989228213026,0.011858104729394782,266.00175038685967,3.633833057290925,0.05712486084216558
10,1024,0.1,EZ3,871.2271767617401,561.9271267182165,2.5996411223968825,-309.3000500435236,95666.5209569262,6.758133965256924,95673.27909089145,3.9346480904982895,1.3105706879806218
10,1024,1.0,x0y0,0.5692888363565467,0.5110595396717333,0.011784305095456641,-0.05822929668481336,0.003390650992408016,0.00013886984658280534,0.0035295208389908212,596.5919887830352,0.0004824643955864738
10,1024,1.0,x0y1,0.3920392517353639,0.3696173320579822,0.012799760330560135,-0.02242191967738172,0.0005027424820189576,0.0001638338645197809,0.0006665763465387385,545.6279434013089,0.0005479659034293269
10,1024,1.0,x1y0,0.39203925173536397,0.40061116225088045,0.01403865958675686,0.008571910515516479,7.347764988602198e-5,0.0001970839629928403,0.0002705616128788623,481.24458483527974,0.0006399450961251099
10,1024,1.0,x1y1,0.5081499640351659,0.4687744896750996,0.01208795813488067,-0.039375474360066276,0.0015504279810802366,0.00014611873187062778,0.0016965467129508643,640.7862980824194,0.00047752524807892857
10,1024,1.0,EZ,5.032464353851365,4.881342623717737,0.023101031716875418,-0.15112173013362806,0.02283777731858111,0.000533657666384084,0.023371434984965193,373.5468074095748,0.001195250301433201
10,1024,1.0,EZ2,43.80946529585897,40.63247530985566,0.31201644691319624,-3.1769899860033135,10.093265371165334,0.0973542631443354,10.19061963430967,230.67676552197966,0.020543553168751033
10,1024,1.0,EZ3,560.9979448865065,482.96265277208084,7.051752800257313,-78.03529211442566,6089.506815383744,49.72721755593686,6139.23403293968,143.567796171244,0.5885299418438529
10,8192,0.05,x0y0,0.7494132951304842,0.6947083927072758,0.0010570746652114075,-0.05470490242320836,0.0029926263491327474,1.1174068478318093e-6,0.002993743755980579,5.224012465321312,0.0004624912940536628
10,8192,0.05,x0y1,0.4181329090920055,0.43570318906345845,0.0006305036031851026,0.01757027997145294,0.00030871473827524034,3.9753479362939726e-7,0.0003091122730688697,7.417708840959432,0.00023150089884469522
10,8192,0.05,x1y0,0.41813290909200546,0.4229232948499638,0.0005753525844187212,0.004790385757958371,2.2947795710050397e-5,3.310305963973017e-7,2.3278826306447697e-5,11.499812435590702,0.00016966360465892394
10,8192,0.05,x1y1,0.6723844271902847,0.6268499888238749,0.0018085831266114911,-0.0455344383664098,0.0020733850773443727,3.270972925863797e-6,0.0020766560502702364,4.363094998217242,0.0008658469674367969
10,8192,0.05,EZ,6.698269888329023,6.098764262675029,0.013371032760712243,-0.5995056256539932,0.3594069951907859,0.00017878451708804006,0.3595857797078739,4.38571887371121,0.006384759720667962
10,8192,0.05,EZ2,65.69936274968708,55.92678384192562,0.1793478107060035,-9.772578907761464,95.50329850842424,0.032165637205036464,95.53546414562928,4.491192598948464,0.08462822651530076
10,8192,0.05,EZ3,899.0959071565552,733.8786740240046,2.8573716064199917,-165.21723313255063,27296.734123975588,8.164572497175163,27304.898696472763,4.421450357630788,1.3588901423832034
10,8192,0.1,x0y0,0.7373879474303845,0.6965872904792321,0.001953541320073843,-0.040800656951152425,0.0016646936076456227,3.816323689235853e-6,0.0016685099313348585,3.9635571463891237,0.0009812508353526043
